anomaly_index,action_type,target,reason,severity,severity_value,params
347,log,system,Anomaly detected: host-based anomaly detection event (rootcheck).,MEDIUM,2,"{'event_desc': 'host-based anomaly detection event (rootcheck).', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:31:23.032000+0000', tz='UTC'), 'anomaly_score': -21.498166076540723}"
347,alert,security_team,BENIGN detected: host-based anomaly detection event (rootcheck).,MEDIUM,2,"{'attack_type': 'benign', 'event_desc': 'host-based anomaly detection event (rootcheck).', 'agent': 'pfsense.home.arpa', 'src_ip': None, 'dst_ip': None, 'confidence': 0.74}"
348,log,system,Anomaly detected: sshd: authentication success.,LOW,1,"{'event_desc': 'sshd: authentication success.', 'agent': 'wazuh-server', 'timestamp': Timestamp('2025-10-21 12:32:25.294000+0000', tz='UTC'), 'anomaly_score': -13.962736704276734}"
354,log,system,Anomaly detected: suricata: alert - gpl icmp ping *nix,LOW,1,"{'event_desc': 'suricata: alert - gpl icmp ping *nix', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:35:13.078000+0000', tz='UTC'), 'anomaly_score': -9.573605249792001}"
355,log,system,Anomaly detected: suricata: alert - gpl icmp ping *nix,LOW,1,"{'event_desc': 'suricata: alert - gpl icmp ping *nix', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:35:15.092000+0000', tz='UTC'), 'anomaly_score': -8.009539862981994}"
356,log,system,Anomaly detected: suricata: alert - gpl icmp ping *nix,LOW,1,"{'event_desc': 'suricata: alert - gpl icmp ping *nix', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:35:15.092000+0000', tz='UTC'), 'anomaly_score': -7.2091832677907375}"
357,log,system,Anomaly detected: suricata: alert - gpl icmp ping *nix,LOW,1,"{'event_desc': 'suricata: alert - gpl icmp ping *nix', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:35:17.119000+0000', tz='UTC'), 'anomaly_score': -7.332124236296699}"
369,log,system,Anomaly detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:37:50.744000+0000', tz='UTC'), 'anomaly_score': -16.038504700087927}"
369,alert,security_team,MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'src_ip': '192.203.230.10', 'dst_ip': '192.168.180.129', 'confidence': 0.51}"
369,block_ip,192.203.230.10,Block IP 192.203.230.10 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.203.230.10', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata stream fin1 fin with wrong seq'}"
369,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa'}"
370,log,system,Anomaly detected: pam: user login failed.,HIGH,3,"{'event_desc': 'pam: user login failed.', 'agent': 'wazuh-server', 'timestamp': Timestamp('2025-10-21 12:37:55.361000+0000', tz='UTC'), 'anomaly_score': -10.190487108648247}"
370,alert,security_team,BRUTE_FORCE detected: pam: user login failed.,HIGH,3,"{'attack_type': 'brute_force', 'event_desc': 'pam: user login failed.', 'agent': 'wazuh-server', 'src_ip': None, 'dst_ip': None, 'confidence': 0.59}"
374,log,system,Anomaly detected: suricata: alert - gpl icmp ping *nix,LOW,1,"{'event_desc': 'suricata: alert - gpl icmp ping *nix', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:38:53.355000+0000', tz='UTC'), 'anomaly_score': -8.05412748754622}"
375,log,system,Anomaly detected: suricata: alert - gpl icmp ping *nix,LOW,1,"{'event_desc': 'suricata: alert - gpl icmp ping *nix', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:38:54.185000+0000', tz='UTC'), 'anomaly_score': -8.983456785366121}"
376,log,system,Anomaly detected: suricata: alert - gpl icmp ping *nix,LOW,1,"{'event_desc': 'suricata: alert - gpl icmp ping *nix', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:38:55.372000+0000', tz='UTC'), 'anomaly_score': -10.222898313088743}"
393,log,system,Anomaly detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:39:59.071000+0000', tz='UTC'), 'anomaly_score': -19.923190442775145}"
393,alert,security_team,MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'src_ip': '192.203.230.10', 'dst_ip': '192.168.180.129', 'confidence': 0.51}"
393,block_ip,192.203.230.10,Block IP 192.203.230.10 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.203.230.10', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata stream fin1 fin with wrong seq'}"
393,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa'}"
395,log,system,Anomaly detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:40:23.293000+0000', tz='UTC'), 'anomaly_score': -12.780230345903975}"
395,alert,security_team,MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'src_ip': '192.203.230.10', 'dst_ip': '192.168.180.129', 'confidence': 0.51}"
395,block_ip,192.203.230.10,Block IP 192.203.230.10 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.203.230.10', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata stream fin1 fin with wrong seq'}"
395,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa'}"
399,log,system,Anomaly detected: pam: user login failed.,HIGH,3,"{'event_desc': 'pam: user login failed.', 'agent': 'wazuh-server', 'timestamp': Timestamp('2025-10-21 15:14:24.903000+0000', tz='UTC'), 'anomaly_score': -14.852065952596341}"
399,alert,security_team,BRUTE_FORCE detected: pam: user login failed.,HIGH,3,"{'attack_type': 'brute_force', 'event_desc': 'pam: user login failed.', 'agent': 'wazuh-server', 'src_ip': None, 'dst_ip': None, 'confidence': 0.59}"
412,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:32.458000+0000', tz='UTC'), 'anomaly_score': -25.531360311701658}"
412,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '199.19.53.1', 'confidence': 0.54}"
412,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
412,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
413,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:32.669000+0000', tz='UTC'), 'anomaly_score': -20.964592459753955}"
413,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '199.19.57.1', 'confidence': 0.54}"
413,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
413,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
414,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:32.682000+0000', tz='UTC'), 'anomaly_score': -22.479343381538044}"
414,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '199.19.56.1', 'confidence': 0.54}"
414,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
414,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
415,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:32.684000+0000', tz='UTC'), 'anomaly_score': -22.20520543913801}"
415,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '199.19.54.1', 'confidence': 0.54}"
415,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
415,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
416,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:33.120000+0000', tz='UTC'), 'anomaly_score': -21.269736596757454}"
416,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '202.12.27.33', 'confidence': 0.53}"
416,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
416,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
417,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:33.136000+0000', tz='UTC'), 'anomaly_score': -43.847911501462306}"
417,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '193.0.14.129', 'confidence': 0.56}"
417,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
417,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
418,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:33.155000+0000', tz='UTC'), 'anomaly_score': -20.762623343102756}"
418,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '199.7.91.13', 'confidence': 0.54}"
418,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
418,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
419,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:33.179000+0000', tz='UTC'), 'anomaly_score': -20.854316023600358}"
419,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '192.112.36.4', 'confidence': 0.54}"
419,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
419,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
420,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:34.511000+0000', tz='UTC'), 'anomaly_score': -22.260154400009416}"
420,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '199.19.57.1', 'confidence': 0.54}"
420,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
420,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
421,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:34.537000+0000', tz='UTC'), 'anomaly_score': -21.420765625170187}"
421,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '192.58.128.30', 'confidence': 0.53}"
421,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
421,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
422,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:34.554000+0000', tz='UTC'), 'anomaly_score': -22.480311990360523}"
422,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '192.36.148.17', 'confidence': 0.54}"
422,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
422,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
423,log,system,Anomaly detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:20:34.639000+0000', tz='UTC'), 'anomaly_score': -23.28501687695073}"
423,alert,security_team,MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa', 'src_ip': '192.168.180.129', 'dst_ip': '193.0.14.129', 'confidence': 0.56}"
423,block_ip,192.168.180.129,Block IP 192.168.180.129 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.168.180.129', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata applayer detect protocol only one direction'}"
423,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata applayer detect protocol only one direction', 'agent': 'pfsense.home.arpa'}"
450,log,system,Anomaly detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:21:47.861000+0000', tz='UTC'), 'anomaly_score': -12.870731969393738}"
450,alert,security_team,MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'src_ip': '170.247.170.2', 'dst_ip': '192.168.180.129', 'confidence': 0.51}"
450,block_ip,170.247.170.2,Block IP 170.247.170.2 on pfSense due to malware attack,CRITICAL,4,"{'ip': '170.247.170.2', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata stream fin1 fin with wrong seq'}"
450,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa'}"
451,log,system,Anomaly detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:22:44.179000+0000', tz='UTC'), 'anomaly_score': -12.609445032052026}"
451,alert,security_team,MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'src_ip': '192.58.128.30', 'dst_ip': '192.168.180.129', 'confidence': 0.51}"
451,block_ip,192.58.128.30,Block IP 192.58.128.30 on pfSense due to malware attack,CRITICAL,4,"{'ip': '192.58.128.30', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata stream fin1 fin with wrong seq'}"
451,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa'}"
452,log,system,Anomaly detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:22:49.767000+0000', tz='UTC'), 'anomaly_score': -15.459334353773205}"
452,alert,security_team,MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'src_ip': '170.247.170.2', 'dst_ip': '192.168.180.129', 'confidence': 0.51}"
452,block_ip,170.247.170.2,Block IP 170.247.170.2 on pfSense due to malware attack,CRITICAL,4,"{'ip': '170.247.170.2', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata stream fin1 fin with wrong seq'}"
452,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa'}"
453,log,system,Anomaly detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:22:51.788000+0000', tz='UTC'), 'anomaly_score': -16.030382177517033}"
453,alert,security_team,MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'src_ip': '170.247.170.2', 'dst_ip': '192.168.180.129', 'confidence': 0.51}"
453,block_ip,170.247.170.2,Block IP 170.247.170.2 on pfSense due to malware attack,CRITICAL,4,"{'ip': '170.247.170.2', 'attack_type': 'malware', 'duration': 3600, 'reason': 'suricata: alert - suricata stream fin1 fin with wrong seq'}"
453,escalate,security_manager,CRITICAL: malware detected - Immediate attention required,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa'}"
454,log,system,Anomaly detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 15:24:53.238000+0000', tz='UTC'), 'anomaly_score': -15.750210455888373}"
454,alert,security_team,MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,CRITICAL,4,"{'attack_type': 'malware', 'event_desc': 'suricata: alert - suricata stream fin1 fin with wrong seq', 'agent': 'pfsense.home.arpa', 'src_ip': '192.58.128.30', 'dst_ip': '192.168.180.129', 'confidence': 0.51}"
