success,message,timestamp,anomaly_index,action_index,block_info
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.391181,395,32,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.391317,395,33,
True,Logged successfully,2025-11-16T18:56:46.391416,399,34,
True,Alert logged: ALERT: BRUTE_FORCE detected: pam: user login failed.,2025-11-16T18:56:46.391545,399,35,
True,Logged successfully,2025-11-16T18:56:46.391663,412,36,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.391792,412,37,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.391911,412,38,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.392026,412,39,
True,Logged successfully,2025-11-16T18:56:46.392122,413,40,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.392240,413,41,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.392356,413,42,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.392455,413,43,
True,Logged successfully,2025-11-16T18:56:46.392550,414,44,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.392681,414,45,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.392816,414,46,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.392919,414,47,
True,Logged successfully,2025-11-16T18:56:46.393016,415,48,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.393140,415,49,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.393254,415,50,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.393358,415,51,
True,Logged successfully,2025-11-16T18:56:46.393456,416,52,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.393595,416,53,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.393728,416,54,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.393832,416,55,
True,Logged successfully,2025-11-16T18:56:46.393926,417,56,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.394044,417,57,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.394157,417,58,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.394257,417,59,
True,Logged successfully,2025-11-16T18:56:46.394362,418,60,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.394480,418,61,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.394594,418,62,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.394711,418,63,
True,Logged successfully,2025-11-16T18:56:46.394807,419,64,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.394925,419,65,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.395037,419,66,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.395138,419,67,
True,Logged successfully,2025-11-16T18:56:46.395243,420,68,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.395363,420,69,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.395497,420,70,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.395664,420,71,
True,Logged successfully,2025-11-16T18:56:46.395772,421,72,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.395899,421,73,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.396019,421,74,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.396239,421,75,
True,Logged successfully,2025-11-16T18:56:46.396458,422,76,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.396731,422,77,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.396977,422,78,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.397237,422,79,
True,Logged successfully,2025-11-16T18:56:46.397398,423,80,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.397578,423,81,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.397786,423,82,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.397961,423,83,
True,Logged successfully,2025-11-16T18:56:46.398107,450,84,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.398299,450,85,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.398476,450,86,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.398635,450,87,
True,Logged successfully,2025-11-16T18:56:46.398808,451,88,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.399015,451,89,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.399189,451,90,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.399365,451,91,
True,Logged successfully,2025-11-16T18:56:46.399505,452,92,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.399736,452,93,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.399950,452,94,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.400091,452,95,
True,Logged successfully,2025-11-16T18:56:46.400245,453,96,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.400413,453,97,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.400579,453,98,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.400730,453,99,
True,Logged successfully,2025-11-16T18:56:46.400830,454,100,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.400964,454,101,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.401079,454,102,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.401191,454,103,
True,Logged successfully,2025-11-16T18:56:46.401305,455,104,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.401435,455,105,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.401540,455,106,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.401668,455,107,
True,Logged successfully,2025-11-16T18:56:46.401770,456,108,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.401893,456,109,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.401994,456,110,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.402092,456,111,
True,Logged successfully,2025-11-16T18:56:46.402199,457,112,
True,Logged successfully,2025-11-16T18:56:46.402353,458,113,
True,Logged successfully,2025-11-16T18:56:46.402490,462,114,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.402618,462,115,
True,Logged successfully,2025-11-16T18:56:46.402773,463,116,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.402950,463,117,
True,Logged successfully,2025-11-16T18:56:46.403109,464,118,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.403317,464,119,
True,Logged successfully,2025-11-16T18:56:46.403549,465,120,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.403853,465,121,
True,Logged successfully,2025-11-16T18:56:46.403989,466,122,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.404110,466,123,
True,Logged successfully,2025-11-16T18:56:46.404212,467,124,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.404328,467,125,
True,Logged successfully,2025-11-16T18:56:46.404450,468,126,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.404603,468,127,
True,Logged successfully,2025-11-16T18:56:46.404738,469,128,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.404865,469,129,
True,Logged successfully,2025-11-16T18:56:46.404970,470,130,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.405113,470,131,
True,Logged successfully,2025-11-16T18:56:46.405225,471,132,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.405349,471,133,
True,Logged successfully,2025-11-16T18:56:46.405453,472,134,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.405579,472,135,
True,Logged successfully,2025-11-16T18:56:46.405697,474,136,
True,Logged successfully,2025-11-16T18:56:46.405839,485,137,
True,Logged successfully,2025-11-16T18:56:46.405952,486,138,
True,Logged successfully,2025-11-16T18:56:46.406059,494,139,
True,Alert logged: ALERT: BENIGN detected: integrity checksum changed.,2025-11-16T18:56:46.406216,494,140,
True,Logged successfully,2025-11-16T18:56:46.406399,495,141,
True,Alert logged: ALERT: BENIGN detected: integrity checksum changed.,2025-11-16T18:56:46.406581,495,142,
True,Logged successfully,2025-11-16T18:56:46.406772,496,143,
True,Alert logged: ALERT: BENIGN detected: integrity checksum changed.,2025-11-16T18:56:46.406996,496,144,
True,Logged successfully,2025-11-16T18:56:46.407169,497,145,
True,Alert logged: ALERT: BENIGN detected: host-based anomaly detection event (rootcheck).,2025-11-16T18:56:46.407341,497,146,
True,Logged successfully,2025-11-16T18:56:46.407521,498,147,
True,Logged successfully,2025-11-16T18:56:46.407695,499,148,
True,Logged successfully,2025-11-16T18:56:46.407842,502,149,
True,Logged successfully,2025-11-16T18:56:46.407979,503,150,
True,Logged successfully,2025-11-16T18:56:46.408116,551,151,
True,Logged successfully,2025-11-16T18:56:46.408252,555,152,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.408405,555,153,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.408574,555,154,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.408757,555,155,
True,Logged successfully,2025-11-16T18:56:46.408903,556,156,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.409133,556,157,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.409352,556,158,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.409537,556,159,
True,Logged successfully,2025-11-16T18:56:46.409696,586,160,
True,Logged successfully,2025-11-16T18:56:46.409897,592,161,
True,Alert logged: ALERT: BRUTE_FORCE detected: pam: user login failed.,2025-11-16T18:56:46.410083,592,162,
True,Logged successfully,2025-11-16T18:56:46.410234,676,163,
True,Alert logged: ALERT: PRIVILEGE_ESCALATION detected: successful sudo to root executed.,2025-11-16T18:56:46.410441,676,164,
True,Escalation sent: ESCALATION: CRITICAL: privilege_escalation detected - Immediate attention required,2025-11-16T18:56:46.410595,676,165,
True,Logged successfully,2025-11-16T18:56:46.410744,718,166,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.410905,718,167,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.411064,718,168,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.411212,718,169,
True,Logged successfully,2025-11-16T18:56:46.411354,719,170,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.411543,719,171,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.411732,719,172,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.411873,719,173,
True,Logged successfully,2025-11-16T18:56:46.412003,720,174,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.412186,720,175,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.412348,720,176,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.412504,720,177,
True,Logged successfully,2025-11-16T18:56:46.412642,721,178,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.412879,721,179,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.413043,721,180,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.413211,721,181,
True,Logged successfully,2025-11-16T18:56:46.413337,722,182,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.413520,722,183,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.413738,722,184,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.413955,722,185,
True,Logged successfully,2025-11-16T18:56:46.414178,723,186,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.414426,723,187,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.414605,723,188,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.414802,723,189,
True,Logged successfully,2025-11-16T18:56:46.415024,724,190,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.415353,724,191,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.415636,724,192,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.415878,724,193,
True,Logged successfully,2025-11-16T18:56:46.416049,725,194,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.416239,725,195,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.416392,725,196,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.416543,725,197,
True,Logged successfully,2025-11-16T18:56:46.416711,726,198,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.416927,726,199,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.417084,726,200,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.417245,726,201,
True,Logged successfully,2025-11-16T18:56:46.417374,727,202,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.417562,727,203,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.417716,727,204,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.417850,727,205,
True,Logged successfully,2025-11-16T18:56:46.417977,728,206,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.418195,728,207,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.418394,728,208,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.418607,728,209,
True,Logged successfully,2025-11-16T18:56:46.418789,729,210,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.418987,729,211,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.419158,729,212,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.419313,729,213,
True,Logged successfully,2025-11-16T18:56:46.419514,730,214,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.419806,730,215,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.420072,730,216,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.420266,730,217,
True,Logged successfully,2025-11-16T18:56:46.420425,731,218,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.420667,731,219,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.420902,731,220,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.421155,731,221,
True,Logged successfully,2025-11-16T18:56:46.421319,732,222,
True,Logged successfully,2025-11-16T18:56:46.421484,735,223,
True,Logged successfully,2025-11-16T18:56:46.421624,736,224,
True,Logged successfully,2025-11-16T18:56:46.421784,737,225,
True,Logged successfully,2025-11-16T18:56:46.421925,743,226,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.422077,743,227,
True,Logged successfully,2025-11-16T18:56:46.422186,742,228,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.422304,742,229,
True,Logged successfully,2025-11-16T18:56:46.422440,740,230,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.422603,740,231,
True,Logged successfully,2025-11-16T18:56:46.422778,741,232,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.422967,741,233,
True,Logged successfully,2025-11-16T18:56:46.423117,744,234,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.423278,744,235,
True,Logged successfully,2025-11-16T18:56:46.423423,745,236,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.423587,745,237,
True,Logged successfully,2025-11-16T18:56:46.423754,746,238,
True,Alert logged: ALERT: BENIGN detected: file deleted.,2025-11-16T18:56:46.423940,746,239,
True,Logged successfully,2025-11-16T18:56:46.424124,750,240,
True,Logged successfully,2025-11-16T18:56:46.424312,747,241,
True,Logged successfully,2025-11-16T18:56:46.424478,748,242,
True,Logged successfully,2025-11-16T18:56:46.424691,749,243,
True,Logged successfully,2025-11-16T18:56:46.424846,751,244,
True,Logged successfully,2025-11-16T18:56:46.425014,752,245,
True,Logged successfully,2025-11-16T18:56:46.425185,753,246,
True,Logged successfully,2025-11-16T18:56:46.425349,754,247,
True,Logged successfully,2025-11-16T18:56:46.425498,755,248,
True,Logged successfully,2025-11-16T18:56:46.425642,756,249,
True,Logged successfully,2025-11-16T18:56:46.425809,771,250,
True,Alert logged: ALERT: BENIGN detected: host-based anomaly detection event (rootcheck).,2025-11-16T18:56:46.425983,771,251,
True,Logged successfully,2025-11-16T18:56:46.426179,797,252,
True,Logged successfully,2025-11-16T18:56:46.426360,798,253,
True,Alert logged: ALERT: PRIVILEGE_ESCALATION detected: successful sudo to root executed.,2025-11-16T18:56:46.426550,798,254,
True,Escalation sent: ESCALATION: CRITICAL: privilege_escalation detected - Immediate attention required,2025-11-16T18:56:46.426747,798,255,
True,Logged successfully,2025-11-16T18:56:46.426890,822,256,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata applayer detect protocol only one direction,2025-11-16T18:56:46.427062,822,257,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.427260,822,258,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.427466,822,259,
True,Logged successfully,2025-11-16T18:56:46.427613,827,260,
True,Alert logged: ALERT: BRUTE_FORCE detected: pam: user login failed.,2025-11-16T18:56:46.427898,827,261,
True,Logged successfully,2025-11-16T18:56:46.428099,871,262,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - et scan suspicious inbound to mysql port 3306,2025-11-16T18:56:46.428328,871,263,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.428530,871,264,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.428729,871,265,
True,Logged successfully,2025-11-16T18:56:46.428907,872,266,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - et scan suspicious inbound to mysql port 3306,2025-11-16T18:56:46.429178,872,267,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.429352,872,268,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.429538,872,269,
True,Logged successfully,2025-11-16T18:56:46.429704,873,270,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - et scan suspicious inbound to mssql port 1433,2025-11-16T18:56:46.429935,873,271,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.430125,873,272,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.430283,873,273,
True,Logged successfully,2025-11-16T18:56:46.430460,874,274,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - et scan suspicious inbound to mssql port 1433,2025-11-16T18:56:46.430670,874,275,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.430813,874,276,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.430967,874,277,
True,Logged successfully,2025-11-16T18:56:46.431173,875,278,
True,Alert logged: ALERT: PORT_SCAN detected: suricata: alert - et scan potential vnc scan 5800-5820,2025-11-16T18:56:46.431450,875,279,
True,Logged successfully,2025-11-16T18:56:46.431671,876,280,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - et scan suspicious inbound to postgresql port 5432,2025-11-16T18:56:46.431951,876,281,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.432195,876,282,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.432360,876,283,
True,Logged successfully,2025-11-16T18:56:46.432498,877,284,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - et scan suspicious inbound to oracle sql port 1521,2025-11-16T18:56:46.432753,877,285,
